rowID,NewID,Group,Family,Genus,Species,subsp.var.f.hybrid,subsp..Name,Cleaned.family,Cleaned.genus,Cleaned.species,Cleaned.binomial,Phylocom,Plant.organ,Developmental.stage,Growth.form,Natural...Greenhouse,Mega...meso...micro...nanophanerophyte,Height.max..m.,Height.actual..m.,P50..MPa.,P12..MPa.,P88..MPa.,P88.P12,Slope,Curve,Equation,P50.method,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,X.p.min.predawn..MPa.,X.p.min.midday..MPa.,Huber.value,Sapwood.capacitance...kg.m.3.MPa.1.,Av..tracheid.length...m.,Av..vessel.length..cm.,Max.vessel.length..cm.,Av..conduit.diameter...m.,dh.mean.hydraulic.diameter...m.,Conduit.density.per.mm2,Vulnerability.index.sensu.Carlquist..vessel.diamter...vessel.frequency.,Vessel.grouping.index,Ac..intervessel.contact.fraction.,Interconduit.pit.size...m.,Outer.pit.aperture.diameter...m.,Aperture.pit.size,Pit.membrane.thickness..nm.,Torus.diameter...m.,Torus.aperture,Torus.thickness..nm.,Vestures,Fp..pit.fraction.,Ap..interconduit.pit..membrane..area.mm2.,Porosity,Perforation.plates,Ground.tissue,Vasicentric.tracheids,Vessel.groupings,MOR,EI,MOE,t..interconduit.cell.wall.thickness...m.,X.t.b.2,X...g.cm3.,SLA..cm2.g.1.,Total.stomata.density,Stomatal.index,Gs..mol.m.2.s.1.,Phenology,Phenology2,Amax..micromol.m2.s.,X.13C,TLP..MPa.,Location,Country,Latitude,Longitude,Provenance.Latitude,Provenance.Longitude,Altitude..m.,Altitude.provenance..m.,MAP..mean.annual.precipitation..mm.,MAT..mean.annual.temperature...C..,Evapotranspiration,De.Martonne.s.aridity.index....P.T.10.,Biome,Reference,Contributor.name,Notes,ELEVsource..m.,Site,LATnew,LONnew,Country.1,site.name,Location.1,ELEVbest,MATbest,PPTbest,RHav,SUNav,FRSsum,MATjan,MATfeb,MATmar,MATapr,MATmay,MATjun,MATjul,MATaug,MATsep,MAToct,MATnov,MATdec,PPTjan,PPTfeb,PPTmar,PPTapr,PPTmay,PPTjun,PPTjul,PPTaug,PPTsep,PPToct,PPTnov,PPTdec,RHjan,RHfeb,RHmar,RHapr,RHmay,RHjun,RHjul,RHaug,RHsep,RHoct,RHnov,RHdec,SUNjan,SUNfeb,SUNmar,SUNapr,SUNmay,SUNjun,SUNjul,SUNaug,SUNsep,SUNoct,SUNnov,SUNdec,FRSjan,FRSfeb,FRSmar,FRSapr,FRSmay,FRSjun,FRSjul,FRSaug,FRSsep,FRSoct,FRSnov,FRSdec,ELEVsource..m..1,ELEVcru,ELEVwc,PPTsource..mm.,PPTcru,PPTwc,MATsource..C..,MATcru,MATwc,MATcalc,redone,Ref_latCRU,Ref_lonCRU,LATold,LONold,comment,comm2,avg.annual.AI,avg.annual.AI2,avg.annual.PET..mm...yr.
1,1,Angiosperm,Chenopodiaceae,Atriplex,canescens,,,Amaranthaceae,Atriplex,canescens,Atriplex canescens,atriplex_canescens,R,A,S,N,,NA,NA,-1.884,NA,-4.463,-4.463,14.73439318,E,,CE,NA,NA,-4.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,no,,,NA,,NA,NA,NA,NA,NA,NA,NA,E,SD,NA,NA,NA,Utah,USA,40 12' N,112 19' W,,,1547,NA,273,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Loam Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1547,279,40.2,-112.317,USA,USA_Ut_Loam,Utah,1547,9.5,273,53.7,67,160.5,-3,0,3.8,8.2,13.3,18.8,23.3,22.1,16.7,10.1,3.2,-2.3,18,20,30,31,28,18,18,19,22,26,24,21,71.4,67.7,58.4,50.9,46.8,39.4,36.2,39.4,44.9,53.8,63.9,71.1,49.2,58.5,65,67.7,71.2,79.2,80.3,79.9,79.4,72.8,54.4,46.9,28.6,24.3,21.9,14.1,5.5,1.3,0.4,0.5,2.4,11.4,22,28.1,1547,1687,1567,273,458,342,NA,9,9.4,NA,NA,40.25,-112.25,NA,NA,scale WC,WC,0.3,0.239,1141
2,2,Angiosperm,Chenopodiaceae,Atriplex,canescens,,,Amaranthaceae,Atriplex,canescens,Atriplex canescens,atriplex_canescens,R,A,S,N,,NA,NA,-1.414,NA,-2.756,-2.756,28.31594635,E,,CE,NA,NA,-3.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,no,,,NA,,NA,NA,NA,NA,NA,NA,NA,E,SD,NA,NA,NA,Utah,USA,40 15' N,112 44' W,,,1463,NA,194,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Sand Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1463,289,40.25,-112.733,USA,USA_Ut_Sand,Utah,1463,10.3,194,53.4,67.9,154.9,-2.6,0.8,4.6,9,14.4,19.9,24.7,23.1,17.4,10.6,3.7,-1.8,15,15,20,24,21,14,10,13,12,17,18,17,71.2,67.9,59,51.2,46.9,39.5,35.2,38.4,43.8,53.1,63.6,70.7,50,58.9,65.3,68.4,72.1,80.2,81.6,81,80.7,73.7,55.1,48.3,27.9,23.7,21.4,13.8,5,0.5,0,0,2,11.6,21.6,27.4,1463,1474,1483,194,273,250,NA,10.2,10,NA,NA,40.25,-112.75,NA,NA,scale CRU,cru,0.214,0.166,1166
3,3,Angiosperm,Chenopodiaceae,Atriplex,confertifolia,,,Amaranthaceae,Atriplex,confertifolia,Atriplex confertifolia,atriplex_confertifolia,R,A,S,N,,NA,NA,-1.583,NA,-4.277,-4.277,14.10541945,E,,CE,NA,NA,-6.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,no,,,NA,,NA,NA,NA,NA,NA,NA,NA,E,SD,NA,NA,NA,Utah,USA,40 12' N,112 19' W,,,1547,NA,273,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Loam Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1547,279,40.2,-112.317,USA,USA_Ut_Loam,Utah,1547,9.5,273,53.7,67,160.5,-3,0,3.8,8.2,13.3,18.8,23.3,22.1,16.7,10.1,3.2,-2.3,18,20,30,31,28,18,18,19,22,26,24,21,71.4,67.7,58.4,50.9,46.8,39.4,36.2,39.4,44.9,53.8,63.9,71.1,49.2,58.5,65,67.7,71.2,79.2,80.3,79.9,79.4,72.8,54.4,46.9,28.6,24.3,21.9,14.1,5.5,1.3,0.4,0.5,2.4,11.4,22,28.1,1547,1687,1567,273,458,342,NA,9,9.4,NA,NA,40.25,-112.25,NA,NA,scale WC,WC,0.3,0.239,1141
4,4,Angiosperm,Chenopodiaceae,Atriplex,confertifolia,,,Amaranthaceae,Atriplex,confertifolia,Atriplex confertifolia,atriplex_confertifolia,R,A,S,N,,NA,NA,-1.662,NA,-3.997,-3.997,16.27408994,E,,CE,NA,NA,-4.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,no,,,NA,,NA,NA,NA,NA,NA,NA,NA,E,SD,NA,NA,NA,Utah,USA,40 15' N,112 44' W,,,1463,NA,194,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Sand Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1463,289,40.25,-112.733,USA,USA_Ut_Sand,Utah,1463,10.3,194,53.4,67.9,154.9,-2.6,0.8,4.6,9,14.4,19.9,24.7,23.1,17.4,10.6,3.7,-1.8,15,15,20,24,21,14,10,13,12,17,18,17,71.2,67.9,59,51.2,46.9,39.5,35.2,38.4,43.8,53.1,63.6,70.7,50,58.9,65.3,68.4,72.1,80.2,81.6,81,80.7,73.7,55.1,48.3,27.9,23.7,21.4,13.8,5,0.5,0,0,2,11.6,21.6,27.4,1463,1474,1483,194,273,250,NA,10.2,10,NA,NA,40.25,-112.75,NA,NA,scale CRU,cru,0.214,0.166,1166
5,5,Angiosperm,Asteraceae,Chrysothamnus,nauseosus,,,Asteraceae,Chrysothamnus,nauseosus,Chrysothamnus nauseosus,chrysothamnus_nauseosus,R,A,S,N,,NA,NA,-1.884,NA,-3.735,-3.735,20.52944354,E,,CE,NA,NA,-5.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,yes,clusters,,NA,,NA,NA,NA,NA,NA,NA,NA,W,SG,NA,NA,NA,Utah,USA,40 12' N,112 19' W,,,1547,NA,273,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Loam Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1547,279,40.2,-112.317,USA,USA_Ut_Loam,Utah,1547,9.5,273,53.7,67,160.5,-3,0,3.8,8.2,13.3,18.8,23.3,22.1,16.7,10.1,3.2,-2.3,18,20,30,31,28,18,18,19,22,26,24,21,71.4,67.7,58.4,50.9,46.8,39.4,36.2,39.4,44.9,53.8,63.9,71.1,49.2,58.5,65,67.7,71.2,79.2,80.3,79.9,79.4,72.8,54.4,46.9,28.6,24.3,21.9,14.1,5.5,1.3,0.4,0.5,2.4,11.4,22,28.1,1547,1687,1567,273,458,342,NA,9,9.4,NA,NA,40.25,-112.25,NA,NA,scale WC,WC,0.3,0.239,1141
6,6,Angiosperm,Asteraceae,Chrysothamnus,nauseosus,,,Asteraceae,Chrysothamnus,nauseosus,Chrysothamnus nauseosus,chrysothamnus_nauseosus,R,A,S,N,,NA,NA,-0.932,NA,-2.656,-2.656,22.04176334,E,,CE,NA,NA,-2.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,yes,clusters,,NA,,NA,NA,NA,NA,NA,NA,NA,W,SG,NA,NA,NA,Utah,USA,40 15' N,112 44' W,,,1463,NA,194,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Sand Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1463,289,40.25,-112.733,USA,USA_Ut_Sand,Utah,1463,10.3,194,53.4,67.9,154.9,-2.6,0.8,4.6,9,14.4,19.9,24.7,23.1,17.4,10.6,3.7,-1.8,15,15,20,24,21,14,10,13,12,17,18,17,71.2,67.9,59,51.2,46.9,39.5,35.2,38.4,43.8,53.1,63.6,70.7,50,58.9,65.3,68.4,72.1,80.2,81.6,81,80.7,73.7,55.1,48.3,27.9,23.7,21.4,13.8,5,0.5,0,0,2,11.6,21.6,27.4,1463,1474,1483,194,273,250,NA,10.2,10,NA,NA,40.25,-112.75,NA,NA,scale CRU,cru,0.214,0.166,1166
7,7,Angiosperm,Asteraceae,Chrysothamnus,parryi,,,Asteraceae,Chrysothamnus,parryi,Chrysothamnus parryi,chrysothamnus_parryi,R,A,S,N,,NA,NA,-2.766,NA,-4.742,-4.742,19.23076923,E,,CE,NA,NA,-4.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,,13.1,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,yes,clusters,,NA,,NA,NA,NA,NA,NA,NA,NA,W,SG,NA,NA,NA,Utah,USA,40 12' N,112 19' W,,,1547,NA,273,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Loam Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1547,279,40.2,-112.317,USA,USA_Ut_Loam,Utah,1547,9.5,273,53.7,67,160.5,-3,0,3.8,8.2,13.3,18.8,23.3,22.1,16.7,10.1,3.2,-2.3,18,20,30,31,28,18,18,19,22,26,24,21,71.4,67.7,58.4,50.9,46.8,39.4,36.2,39.4,44.9,53.8,63.9,71.1,49.2,58.5,65,67.7,71.2,79.2,80.3,79.9,79.4,72.8,54.4,46.9,28.6,24.3,21.9,14.1,5.5,1.3,0.4,0.5,2.4,11.4,22,28.1,1547,1687,1567,273,458,342,NA,9,9.4,NA,NA,40.25,-112.25,NA,NA,scale WC,WC,0.3,0.239,1141
8,8,Angiosperm,Asteraceae,Chrysothamnus,viscidiflorus,,,Asteraceae,Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,chrysothamnus_viscidiflorus,R,A,S,N,,NA,NA,-1.62,NA,-3.61,-3.61,19.09547739,E,,CE,NA,NA,-6.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,yes,clusters,,NA,,NA,NA,NA,NA,NA,NA,NA,W,SG,NA,NA,NA,Utah,USA,40 12' N,112 19' W,,,1547,NA,273,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Loam Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1547,279,40.2,-112.317,USA,USA_Ut_Loam,Utah,1547,9.5,273,53.7,67,160.5,-3,0,3.8,8.2,13.3,18.8,23.3,22.1,16.7,10.1,3.2,-2.3,18,20,30,31,28,18,18,19,22,26,24,21,71.4,67.7,58.4,50.9,46.8,39.4,36.2,39.4,44.9,53.8,63.9,71.1,49.2,58.5,65,67.7,71.2,79.2,80.3,79.9,79.4,72.8,54.4,46.9,28.6,24.3,21.9,14.1,5.5,1.3,0.4,0.5,2.4,11.4,22,28.1,1547,1687,1567,273,458,342,NA,9,9.4,NA,NA,40.25,-112.25,NA,NA,scale WC,WC,0.3,0.239,1141
9,9,Angiosperm,Asteraceae,Chrysothamnus,viscidiflorus,,,Asteraceae,Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,chrysothamnus_viscidiflorus,R,A,S,N,,NA,NA,-1.243,NA,-3.48,-3.48,16.98703621,E,,CE,NA,NA,-4.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,diffuse-porous,simple,fibres,yes,clusters,,NA,,NA,NA,NA,NA,NA,NA,NA,W,SG,NA,NA,NA,Utah,USA,40 15' N,112 44' W,,,1463,NA,194,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Sand Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1463,289,40.25,-112.733,USA,USA_Ut_Sand,Utah,1463,10.3,194,53.4,67.9,154.9,-2.6,0.8,4.6,9,14.4,19.9,24.7,23.1,17.4,10.6,3.7,-1.8,15,15,20,24,21,14,10,13,12,17,18,17,71.2,67.9,59,51.2,46.9,39.5,35.2,38.4,43.8,53.1,63.6,70.7,50,58.9,65.3,68.4,72.1,80.2,81.6,81,80.7,73.7,55.1,48.3,27.9,23.7,21.4,13.8,5,0.5,0,0,2,11.6,21.6,27.4,1463,1474,1483,194,273,250,NA,10.2,10,NA,NA,40.25,-112.75,NA,NA,scale CRU,cru,0.214,0.166,1166
10,10,Angiosperm,Chenopodiaceae,Grayia,spinosa,,,Amaranthaceae,Grayia,spinosa,Grayia spinosa,grayia_spinosa,R,A,S,N,,NA,NA,-2.252,NA,-5.282,-5.282,12.54125413,E,,CE,NA,NA,-5.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,,NA,NA,non-vestured,NA,NA,,simple,fibres,no,,,NA,,NA,NA,NA,NA,NA,NA,NA,D,,NA,NA,NA,Utah,USA,40 15' N,112 44' W,,,1463,NA,194,NA,NA,,DES,Sperry & Hacke 2002,Amy Zanne,Sand Site. ?p min predawn (MPa) was calculated from weekly measurements from June-August.,1463,289,40.25,-112.733,USA,USA_Ut_Sand,Utah,1463,10.3,194,53.4,67.9,154.9,-2.6,0.8,4.6,9,14.4,19.9,24.7,23.1,17.4,10.6,3.7,-1.8,15,15,20,24,21,14,10,13,12,17,18,17,71.2,67.9,59,51.2,46.9,39.5,35.2,38.4,43.8,53.1,63.6,70.7,50,58.9,65.3,68.4,72.1,80.2,81.6,81,80.7,73.7,55.1,48.3,27.9,23.7,21.4,13.8,5,0.5,0,0,2,11.6,21.6,27.4,1463,1474,1483,194,273,250,NA,10.2,10,NA,NA,40.25,-112.75,NA,NA,scale CRU,cru,0.214,0.166,1166
